date,region,product,stock_available,stockouts
2026-06-24,West,Product B,1363.008758657334,2
2026-06-24,West,Product C,1473.6983186672235,4
2026-06-24,West,Product D,1588.316051403562,3
2026-06-25,North,Product A,1477.3740156604817,5
2026-06-25,North,Product B,1643.0489031146128,2
2026-06-25,North,Product C,1432.1412056010795,2
2026-06-25,North,Product D,1722.6939916045533,6
2026-06-25,South,Product A,1228.8603301069145,4
2026-06-25,South,Product B,1481.3866850751117,5
2026-06-25,South,Product C,1391.9510148473819,5
2026-06-25,South,Product D,1615.096670867775,1
2026-06-25,East,Product A,1412.8730655086754,1
2026-06-25,East,Product B,1578.168620988022,0
2026-06-25,East,Product C,1470.4713203345675,4
2026-06-25,East,Product D,1792.855420820787,5
2026-06-25,West,Product A,1365.868390275265,0
2026-06-25,West,Product B,1638.9428433019725,1
2026-06-25,West,Product C,1474.3665582449462,5
2026-06-25,West,Product D,1744.7869151210332,7
2026-06-26,North,Product A,1589.389003026964,2
2026-06-26,North,Product B,1507.101087622979,2
2026-06-26,North,Product C,1413.858834661403,5
2026-06-26,North,Product D,1538.22136904812,3
2026-06-26,South,Product A,1386.3346524644255,2
2026-06-26,South,Product B,1401.4377563873963,0
2026-06-26,South,Product C,1281.7878319991748,0
2026-06-26,South,Product D,1274.6745454617462,2
2026-06-26,East,Product A,1482.5180992897306,2
2026-06-26,East,Product B,1497.5407284651462,4
2026-06-26,East,Product C,1320.3174630991114,1
2026-06-26,East,Product D,1534.1527812305005,4
2026-06-26,West,Product A,1456.7743233377394,1
2026-06-26,West,Product B,1381.8958925864238,3
2026-06-26,West,Product C,1594.854428950592,2
2026-06-26,West,Product D,1493.7184453873338,2
2026-06-27,North,Product A,1627.2201918309286,6
2026-06-27,North,Product B,1487.715568654392,2
2026-06-27,North,Product C,1493.0867783450772,4
2026-06-27,North,Product D,1534.4721943084405,3
2026-06-27,South,Product A,1651.6444221783836,4
2026-06-27,South,Product B,1507.3776801915853,1
2026-06-27,South,Product C,1418.4483649308404,4
2026-06-27,South,Product D,1564.1655165378734,4
2026-06-27,East,Product A,1590.2511791929694,6
2026-06-27,East,Product B,1197.2766067875255,8
2026-06-27,East,Product C,1295.7585132715758,3
2026-06-27,East,Product D,1351.0007306914806,2
2026-06-27,West,Product A,1783.4922564741114,3
2026-06-27,West,Product B,1451.4758612264566,0
2026-06-27,West,Product C,1704.763443286419,4
2026-06-27,West,Product D,1474.260065729616,3
2026-06-28,North,Product A,1270.041852487984,0
2026-06-28,North,Product B,1578.2813465299896,1
2026-06-28,North,Product C,1681.1272427435176,1
2026-06-28,North,Product D,1595.6262950443227,5
2026-06-28,South,Product A,1419.564580084144,3
2026-06-28,South,Product B,1589.2275323271308,2
2026-06-28,South,Product C,1486.2701736346153,5
2026-06-28,South,Product D,1345.597944052028,4
2026-06-28,East,Product A,1514.3036304561836,6
2026-06-28,East,Product B,1738.3055699250172,3
2026-06-28,East,Product C,1440.8677446225174,3
2026-06-28,East,Product D,1479.645095953036,0
2026-06-28,West,Product A,1472.3950541886618,5
2026-06-28,West,Product B,1366.2703822699855,1
2026-06-28,West,Product C,1421.6424691368106,2
2026-06-28,West,Product D,1437.1844172523033,7
2026-06-29,North,Product A,1533.205333922983,4
2026-06-29,North,Product B,1548.8518104946502,0
2026-06-29,North,Product C,1601.2777758456514,2
2026-06-29,North,Product D,1559.4419287621854,0
2026-06-29,South,Product A,1405.0107422145654,1
2026-06-29,South,Product B,1647.556632684928,5
2026-06-29,South,Product C,1541.8339141523356,3
2026-06-29,South,Product D,1278.865646888133,4
2026-06-29,East,Product A,1642.854814362035,6
2026-06-29,East,Product B,1617.732156872344,1
2026-06-29,East,Product C,1407.1629651106468,5
2026-06-29,East,Product D,1607.6318783608085,3
2026-06-29,West,Product A,1340.9366895593855,0
2026-06-29,West,Product B,1721.3511224681247,1
2026-06-29,West,Product C,1538.0365665742006,3
2026-06-29,West,Product D,1521.1805114821093,3
2026-06-30,North,Product A,1421.974066582365,0
2026-06-30,North,Product B,1537.1524620605483,5
2026-06-30,North,Product C,1438.5624391306865,6
2026-06-30,North,Product D,1758.6230223261332,3
2026-06-30,South,Product A,1497.6652517296584,2
2026-06-30,South,Product B,1437.4911858812375,4
2026-06-30,South,Product C,1392.6158324030507,1
2026-06-30,South,Product D,1489.5785390557369,3
2026-06-30,East,Product A,1610.9084287563026,5
2026-06-30,East,Product B,1563.4754210431347,6
2026-06-30,East,Product C,1544.4225514812417,2
2026-06-30,East,Product D,1670.2622239909574,1
2026-06-30,West,Product A,1575.491562681084,4
2026-06-30,West,Product B,1664.6782935820097,1
2026-06-30,West,Product C,1349.2781648888636,1
2026-06-30,West,Product D,1305.8813809759497,2
2026-07-01,North,Product A,1705.5745308334442,3
2026-07-01,North,Product B,1337.3592394488178,3
2026-07-01,North,Product C,1408.5951871151105,3
2026-07-01,North,Product D,1722.6616949879735,1
2026-07-01,South,Product A,1507.2793398362164,0
2026-07-01,South,Product B,1361.1507787534,5
2026-07-01,South,Product C,1596.6711327353362,7
2026-07-01,South,Product D,1624.737347230546,4
2026-07-01,East,Product A,1408.1466783031512,2
2026-07-01,East,Product B,1639.3850902463098,4
2026-07-01,East,Product C,1577.3458818730564,5
2026-07-01,East,Product D,1637.6343897982483,0
2026-07-01,West,Product A,1272.0234312524553,5
2026-07-01,West,Product B,1470.2516770163054,1
2026-07-01,West,Product C,1723.7582250244939,4
2026-07-01,West,Product D,1417.8064881459147,2
2026-07-02,North,Product A,1614.1854987967563,3
2026-07-02,North,Product B,1605.3125962435083,3
2026-07-02,North,Product C,1402.5547424831163,1
2026-07-02,North,Product D,1373.9259548519535,1
2026-07-02,South,Product A,1508.424961816838,4
2026-07-02,South,Product B,1308.3203486237949,1
2026-07-02,South,Product C,1461.56352877107,0
2026-07-02,South,Product D,1577.5820060158767,5
2026-07-02,East,Product A,1660.1407585386137,4
2026-07-02,East,Product B,1504.2963558333818,1
2026-07-02,East,Product C,1429.94526077292,1
2026-07-02,East,Product D,1406.4055407660376,6
2026-07-02,West,Product A,1330.2831068306698,0
2026-07-02,West,Product B,1605.3980942080934,1
2026-07-02,West,Product C,1673.7120001756764,0
2026-07-02,West,Product D,1477.425824446559,4
2026-07-03,North,Product A,1452.9114493830393,0
2026-07-03,North,Product B,1471.2593518085107,3
2026-07-03,North,Product C,1541.3934606246644,2
2026-07-03,North,Product D,1469.5217014689592,1
2026-07-03,South,Product A,1584.7817841251754,3
2026-07-03,South,Product B,1406.1085442634292,0
2026-07-03,South,Product C,1724.5998652542944,0
2026-07-03,South,Product D,1325.7810998129926,0
2026-07-03,East,Product A,1611.985755180771,2
2026-07-03,East,Product B,1613.463306046199,3
2026-07-03,East,Product C,1752.0251259959264,3
2026-07-03,East,Product D,1551.2171221436936,6
2026-07-03,West,Product A,1585.226033194677,1
2026-07-03,West,Product B,1508.626712698336,5
2026-07-03,West,Product C,1513.9188012342381,1
2026-07-03,West,Product D,1514.856125792191,1
2026-07-04,North,Product A,1535.0457391440252,7
2026-07-04,North,Product B,1617.4087075831294,6
2026-07-04,North,Product C,1401.7600450623133,3
2026-07-04,North,Product D,1516.9016070154325,4
2026-07-04,South,Product A,1513.9512926566788,2
2026-07-04,South,Product B,1355.8664910981586,0
2026-07-04,South,Product C,1539.0990455276906,4
2026-07-04,South,Product D,1527.1279804465555,3
2026-07-04,East,Product A,1561.2039598156562,7
2026-07-04,East,Product B,1565.7664543486135,2
2026-07-04,East,Product C,1420.8371979520668,2
2026-07-04,East,Product D,1773.962824444605,5
2026-07-04,West,Product A,1534.1640738994527,2
2026-07-04,West,Product B,1339.0659230543047,3
2026-07-04,West,Product C,1567.4151721993226,2
2026-07-04,West,Product D,1662.0727281823674,3
2026-07-05,North,Product A,1526.449020617196,0
2026-07-05,North,Product B,1421.2802066501977,3
2026-07-05,North,Product C,1513.961934992745,2
2026-07-05,North,Product D,1631.277304264448,0
2026-07-05,South,Product A,1443.7247186547777,1
2026-07-05,South,Product B,1361.7510307341613,0
2026-07-05,South,Product C,1423.011784568032,8
2026-07-05,South,Product D,1339.1440993961749,0
2026-07-05,East,Product A,1588.9714626611085,5
2026-07-05,East,Product B,1538.7738653330975,1
2026-07-05,East,Product C,1646.4440428578766,0
2026-07-05,East,Product D,1585.6465575067286,3
2026-07-05,West,Product A,1686.3141115294875,0
2026-07-05,West,Product B,1853.8834006752097,2
2026-07-05,West,Product C,1639.7246996499935,3
2026-07-05,West,Product D,1494.7488652888612,4
2026-07-06,North,Product A,1546.6444207431484,2
2026-07-06,North,Product B,1444.6594150521096,0
2026-07-06,North,Product C,1536.8636394797034,3
2026-07-06,North,Product D,1626.5387525738586,4
2026-07-06,South,Product A,1225.1774193947392,0
2026-07-06,South,Product B,1485.2553482646874,2
2026-07-06,South,Product C,1405.7601373792982,0
2026-07-06,South,Product D,1593.0864535939843,0
2026-07-06,East,Product A,1587.164495474763,6
2026-07-06,East,Product B,1420.2851395588746,2
2026-07-06,East,Product C,1530.073947245875,3
2026-07-06,East,Product D,1749.479419392329,4
2026-07-06,West,Product A,1379.7574136012877,1
2026-07-06,West,Product B,1883.2107787592495,5
2026-07-06,West,Product C,1586.8868254206543,0
2026-07-06,West,Product D,1632.1160929501182,2
2026-07-07,North,Product A,1416.117008777489,7
2026-07-07,North,Product B,1367.059644043683,5
2026-07-07,North,Product C,1488.6473608094996,5
2026-07-07,North,Product D,1461.0824181256583,0
2026-07-07,South,Product A,1477.852100668855,3
2026-07-07,South,Product B,1502.4031056714753,6
2026-07-07,South,Product C,1600.2643146777723,3
2026-07-07,South,Product D,1326.1722930668159,5
2026-07-07,East,Product A,1690.9539764576548,4
2026-07-07,East,Product B,1459.0555195699235,0
2026-07-07,East,Product C,1352.910210022827,0
2026-07-07,East,Product D,1513.530009464678,4
2026-07-07,West,Product A,1461.1097651656569,6
2026-07-07,West,Product B,1672.5461614898666,2
2026-07-07,West,Product C,1581.4057170393316,1
2026-07-07,West,Product D,1532.7655775107312,0
2026-07-08,North,Product A,1544.430576416169,3
2026-07-08,North,Product B,1707.8668973878862,0
2026-07-08,North,Product C,1484.7220881211113,2
2026-07-08,North,Product D,1414.3807926200561,0
2026-07-08,South,Product A,1371.0725047524281,2
2026-07-08,South,Product B,1548.975476245874,3
2026-07-08,South,Product C,1511.7130468133312,1
2026-07-08,South,Product D,1379.955534575405,4
2026-07-08,East,Product A,1523.3061483258145,3
2026-07-08,East,Product B,1524.010205385821,0
2026-07-08,East,Product C,1453.8241495176455,3
2026-07-08,East,Product D,1734.7426862981686,0
2026-07-08,West,Product A,1459.7962090373467,0
2026-07-08,West,Product B,1387.6494022622046,6
2026-07-08,West,Product C,1465.2426841499223,2
2026-07-08,West,Product D,1434.0551295859875,4
2026-07-09,North,Product A,1280.115138919152,3
2026-07-09,North,Product B,1251.2336708131782,1
2026-07-09,North,Product C,1537.8447558947291,1
2026-07-09,North,Product D,1447.658075979051,0
2026-07-09,South,Product A,1556.1518221932988,2
2026-07-09,South,Product B,1306.3584813340617,5
2026-07-09,South,Product C,1527.361893430805,0
2026-07-09,South,Product D,1425.5493991982364,3
2026-07-09,East,Product A,1332.9315138373631,1
2026-07-09,East,Product B,1559.0366654120319,3
2026-07-09,East,Product C,1654.725163697464,2
2026-07-09,East,Product D,1592.641393569815,3
2026-07-09,West,Product A,1506.0787551140847,3
2026-07-09,West,Product B,1424.3266464721512,3
2026-07-09,West,Product C,1349.3787578461863,4
2026-07-09,West,Product D,1175.2887125896218,4
2026-07-10,North,Product A,1674.211474380972,1
2026-07-10,North,Product B,1454.3442681025824,0
2026-07-10,North,Product C,1467.0537563273701,0
2026-07-10,North,Product D,1571.2007964250417,0
2026-07-10,South,Product A,1365.4319959551535,5
2026-07-10,South,Product B,1684.1112990434399,5
2026-07-10,South,Product C,1561.471211017029,0
2026-07-10,South,Product D,1536.9670894641486,3
2026-07-10,East,Product A,1618.6688768554354,0
2026-07-10,East,Product B,1537.6062349050396,3
2026-07-10,East,Product C,1552.157640939492,3
2026-07-10,East,Product D,1420.4620485820324,4
2026-07-10,West,Product A,1544.854218515019,5
2026-07-10,West,Product B,1683.805518887687,3
2026-07-10,West,Product C,1610.4670329456865,2
2026-07-10,West,Product D,1412.132653234104,3
2026-07-11,North,Product A,1643.0733559229213,7
2026-07-11,North,Product B,1378.5481171378244,0
2026-07-11,North,Product C,1500.3991893085772,3
2026-07-11,North,Product D,1451.4768193141206,2
2026-07-11,South,Product A,1647.7647543555988,2
2026-07-11,South,Product B,1600.2949728542992,4
2026-07-11,South,Product C,1345.0749406624213,4
2026-07-11,South,Product D,1609.3900058323366,1
2026-07-11,East,Product A,1326.3891817577005,4
2026-07-11,East,Product B,1503.1998516772073,7
2026-07-11,East,Product C,1537.87212707456,3
2026-07-11,East,Product D,1372.226220942933,2
2026-07-11,West,Product A,1488.5851914402635,0
2026-07-11,West,Product B,1460.9003963858536,7
2026-07-11,West,Product C,1506.4546212195946,5
2026-07-11,West,Product D,1376.9120654721207,2
2026-07-12,North,Product A,1446.026567666054,2
2026-07-12,North,Product B,1376.2250637830593,1
2026-07-12,North,Product C,1434.4448452477243,0
2026-07-12,North,Product D,1531.8611253722895,0
2026-07-12,South,Product A,1608.68359248835,3
2026-07-12,South,Product B,1436.9507449947228,4
2026-07-12,South,Product C,1626.0975104589004,7
2026-07-12,South,Product D,1551.0854015474606,6
2026-07-12,East,Product A,1453.6809860213039,4
2026-07-12,East,Product B,1399.736878974644,4
2026-07-12,East,Product C,1580.8694778426504,6
2026-07-12,East,Product D,1277.5544262866842,3
2026-07-12,West,Product A,1505.889062188892,0
2026-07-12,West,Product B,1491.9489662565759,4
2026-07-12,West,Product C,1500.2623173549493,4
2026-07-12,West,Product D,1582.2698530596385,3
2026-07-13,North,Product A,1308.8457573038754,3
2026-07-13,North,Product B,1312.830488015419,4
2026-07-13,North,Product C,1515.7488354319803,4
2026-07-13,North,Product D,1634.8814627741451,2
2026-07-13,South,Product A,1555.1230170305637,1
2026-07-13,South,Product B,1523.455647411603,2
2026-07-13,South,Product C,1661.1964489407733,1
2026-07-13,South,Product D,1510.1004138394073,4
2026-07-13,East,Product A,1368.2974708604881,4
2026-07-13,East,Product B,1474.197405455798,4
2026-07-13,East,Product C,1597.0941620083781,2
2026-07-13,East,Product D,1475.3345654378636,6
2026-07-13,West,Product A,1472.2668873361813,3
2026-07-13,West,Product B,1526.1885979271083,1
2026-07-13,West,Product C,1491.1093107809772,4
2026-07-13,West,Product D,1390.5511407453816,7
2026-07-14,North,Product A,1625.8432876120492,4
2026-07-14,North,Product B,1583.5976047464164,4
2026-07-14,North,Product C,1491.1597046375641,0
2026-07-14,North,Product D,1415.1721125286383,3
2026-07-14,South,Product A,1495.3729337313969,5
2026-07-14,South,Product B,1670.1011595859045,2
2026-07-14,South,Product C,1726.3868616536863,4
2026-07-14,South,Product D,1239.9093439598403,4
2026-07-14,East,Product A,1490.0444566125611,0
2026-07-14,East,Product B,1457.2101480234303,1
2026-07-14,East,Product C,1493.4998029954984,2
2026-07-14,East,Product D,1357.9271415610474,4
2026-07-14,West,Product A,1712.7216178920237,1
2026-07-14,West,Product B,1449.4718684601273,2
2026-07-14,West,Product C,1464.0879323170702,1
2026-07-14,West,Product D,1577.1728007540387,1
2026-07-15,North,Product A,1458.3843965824935,4
2026-07-15,North,Product B,1555.554837573881,0
2026-07-15,North,Product C,1562.364107582693,4
2026-07-15,North,Product D,1586.1615487124664,0
2026-07-15,South,Product A,1634.5617771055895,3
2026-07-15,South,Product B,1606.275051874461,2
2026-07-15,South,Product C,1587.3885215582823,0
2026-07-15,South,Product D,1439.5944621956012,0
2026-07-15,East,Product A,1569.2461637109034,2
2026-07-15,East,Product B,1295.0888200648803,1
2026-07-15,East,Product C,1569.5145278230618,3
2026-07-15,East,Product D,1709.7225871566159,0
2026-07-15,West,Product A,1454.179477202303,5
2026-07-15,West,Product B,1558.1964739647512,4
2026-07-15,West,Product C,1342.6273994367198,1
2026-07-15,West,Product D,1426.8846102927334,4
2026-07-16,North,Product A,1447.6254689962814,1
2026-07-16,North,Product B,1611.858077093622,0
2026-07-16,North,Product C,1608.8116414619603,1
2026-07-16,North,Product D,1477.1523603846713,1
2026-07-16,South,Product A,1626.14953344958,3
2026-07-16,South,Product B,1750.6221329535222,5
2026-07-16,South,Product C,1513.1997196215534,6
2026-07-16,South,Product D,1416.7409914493055,4
2026-07-16,East,Product A,1442.5738449626856,7
2026-07-16,East,Product B,1456.512365849725,2
2026-07-16,East,Product C,1592.0352379040391,5
2026-07-16,East,Product D,1635.3216373224031,5
2026-07-16,West,Product A,1628.4516621738787,4
2026-07-16,West,Product B,1637.8683289971489,4
2026-07-16,West,Product C,1393.1683801904726,1
2026-07-16,West,Product D,1541.510904095249,0
2026-07-17,North,Product A,1530.373770933399,2
2026-07-17,North,Product B,1507.814989605528,1
2026-07-17,North,Product C,1374.5369250289252,3
2026-07-17,North,Product D,1214.434974894702,6
2026-07-17,South,Product A,1455.8165408591701,2
2026-07-17,South,Product B,1573.1876451121916,4
2026-07-17,South,Product C,1436.274661073792,4
2026-07-17,South,Product D,1551.3858225625193,2
2026-07-17,East,Product A,1405.5081340952565,2
2026-07-17,East,Product B,1454.5675304079407,3
2026-07-17,East,Product C,1616.928954713203,1
2026-07-17,East,Product D,1648.3348028596254,5
2026-07-17,West,Product A,1438.620469204794,2
2026-07-17,West,Product B,1517.7379803458737,6
2026-07-17,West,Product C,1398.7486350640297,1
2026-07-17,West,Product D,1334.898869772649,4
2026-07-18,North,Product A,1663.850291383863,4
2026-07-18,North,Product B,1538.3012886549707,2
2026-07-18,North,Product C,1387.0952950701371,7
2026-07-18,North,Product D,1362.078046054708,0
2026-07-18,South,Product A,1417.563814901254,4
2026-07-18,South,Product B,1643.9922016763899,1
2026-07-18,South,Product C,1537.3365109059214,5
2026-07-18,South,Product D,1627.0525331323547,0
2026-07-18,East,Product A,1517.1480452509886,5
2026-07-18,East,Product B,1550.4734292874962,1
2026-07-18,East,Product C,1702.3819188013977,2
2026-07-18,East,Product D,1568.139616246078,4
2026-07-18,West,Product A,1272.9338389530342,4
2026-07-18,West,Product B,1490.537630473677,0
2026-07-18,West,Product C,1525.8179087583558,7
2026-07-18,West,Product D,1635.6273776251444,2
2026-07-19,North,Product A,1473.4308815879526,3
2026-07-19,North,Product B,1682.3724905302215,1
2026-07-19,North,Product C,1646.9147480574518,0
2026-07-19,North,Product D,1389.1678190451019,6
2026-07-19,South,Product A,1352.8569480101926,5
2026-07-19,South,Product B,1494.2124319066131,2
2026-07-19,South,Product C,1403.0107209672565,1
2026-07-19,South,Product D,1469.3093605939575,3
2026-07-19,East,Product A,1503.6347875659521,6
2026-07-19,East,Product B,1366.9155654134113,4
2026-07-19,East,Product C,1709.8082763410182,6
2026-07-19,East,Product D,1627.522230394373,3
2026-07-19,West,Product A,1482.72255995955,4
2026-07-19,West,Product B,1512.8024015110418,0
2026-07-19,West,Product C,1294.6752425681373,0
2026-07-19,West,Product D,1435.5011228884748,4
2026-07-20,North,Product A,1353.9936428397161,3
2026-07-20,North,Product B,1383.604783843187,4
2026-07-20,North,Product C,1714.5555907260728,0
2026-07-20,North,Product D,1726.1755255633361,5
2026-07-20,South,Product A,1462.1191922847913,2
2026-07-20,South,Product B,1381.1077941353394,3
2026-07-20,South,Product C,1497.0360994428136,3
2026-07-20,South,Product D,1530.0715818073468,2
2026-07-20,East,Product A,1678.631498034994,3
2026-07-20,East,Product B,1492.2338221712712,2
2026-07-20,East,Product C,1500.4284770461568,4
2026-07-20,East,Product D,1531.5977683892925,3
2026-07-20,West,Product A,1251.5122001599343,2
2026-07-20,West,Product B,1319.2057535518588,2
2026-07-20,West,Product C,1605.3905874270242,3
2026-07-20,West,Product D,1262.3318143912888,3
2026-07-21,North,Product A,1251.6772167771792,3
2026-07-21,North,Product B,1519.5162470828188,3
2026-07-21,North,Product C,1497.419180269134,2
2026-07-21,North,Product D,1297.2635823138023,3
2026-07-21,South,Product A,1758.5244396345329,2
2026-07-21,South,Product B,1519.2549764779485,0
2026-07-21,South,Product C,1603.9971453918672,6
2026-07-21,South,Product D,1302.1084309108803,4
2026-07-21,East,Product A,1587.5121752035677,1
2026-07-21,East,Product B,1660.2341832368884,2
2026-07-21,East,Product C,1512.7229282626172,3
2026-07-21,East,Product D,1445.0676797101785,6
2026-07-21,West,Product A,1777.9343120391675,1
2026-07-21,West,Product B,1750.6476413947892,5
2026-07-21,West,Product C,1456.4232759486586,0
2026-07-21,West,Product D,1514.0085484230888,3
2026-07-22,North,Product A,1291.2379270226234,6
2026-07-22,North,Product B,1537.303224647539,5
2026-07-22,North,Product C,1443.4391358200492,0
2026-07-22,North,Product D,1430.5029375367506,1
2026-07-22,South,Product A,1638.819318316096,0
2026-07-22,South,Product B,1630.9519570319815,5
2026-07-22,South,Product C,1515.3525012262237,2
2026-07-22,South,Product D,1443.8648021933452,0
2026-07-22,East,Product A,1561.8056692353348,0
2026-07-22,East,Product B,1520.1016008592735,3
2026-07-22,East,Product C,1649.827190507429,2
2026-07-22,East,Product D,1379.2015461087615,3
2026-07-22,West,Product A,1679.0729903610045,2
2026-07-22,West,Product B,1543.4845979946717,1
2026-07-22,West,Product C,1658.6335732988757,0
2026-07-22,West,Product D,1574.273613237021,3
2026-07-23,North,Product A,1530.2733174195769,5
2026-07-23,North,Product B,1440.6549482360433,4
2026-07-23,North,Product C,1475.4308668207602,2
2026-07-23,North,Product D,1605.9605568673737,5
2026-07-23,South,Product A,1504.5702197206024,3
2026-07-23,South,Product B,1546.7705118242138,5
2026-07-23,South,Product C,1526.2339469181954,1
2026-07-23,South,Product D,1657.1309079149803,5
2026-07-23,East,Product A,1644.0802420521504,1
2026-07-23,East,Product B,1603.3768048315344,1
2026-07-23,East,Product C,1528.4176232666725,3
2026-07-23,East,Product D,1209.1491493355384,2
2026-07-23,West,Product A,1828.8403388190034,1
2026-07-23,West,Product B,1622.6989392098594,2
2026-07-23,West,Product C,1421.1435552914102,1
2026-07-23,West,Product D,1391.1538923930518,0
2026-07-24,North,Product A,1722.9969795912878,3
2026-07-24,North,Product B,1519.9937641377685,1
2026-07-24,North,Product C,1427.252429075799,3
2026-07-24,North,Product D,1509.6645304262179,0
2026-07-24,South,Product A,1519.0736702177016,2
2026-07-24,South,Product B,1525.596480031543,4
2026-07-24,South,Product C,1360.8561976477868,1
2026-07-24,South,Product D,1516.5402144514405,4
2026-07-24,East,Product A,1485.4333789066743,5
2026-07-24,East,Product B,1382.0013629795026,3
2026-07-24,East,Product C,1285.265893703649,6
2026-07-24,East,Product D,1552.346039355387,4
2026-07-24,West,Product A,1397.1535905740132,0
2026-07-24,West,Product B,1449.6755938551926,2
2026-07-24,West,Product C,1640.240957328397,7
2026-07-24,West,Product D,1487.5888972215498,1
2026-07-25,North,Product A,1567.8115932000576,2
2026-07-25,North,Product B,1550.3088350705516,1
2026-07-25,North,Product C,1551.5722670657606,1
2026-07-25,North,Product D,1370.7652089534165,1
2026-07-25,South,Product A,1501.940050632095,1
2026-07-25,South,Product B,1575.015998652641,2
2026-07-25,South,Product C,1361.2753899728264,5
2026-07-25,South,Product D,1566.4576668494672,1
2026-07-25,East,Product A,1656.7865733076883,1
2026-07-25,East,Product B,1471.2471922094098,5
2026-07-25,East,Product C,1500.5187445525157,2
2026-07-25,East,Product D,1403.6854101764866,3
2026-07-25,West,Product A,1582.6816968892956,0
2026-07-25,West,Product B,1435.9582230230899,0
2026-07-25,West,Product C,1639.2957367690724,2
2026-07-25,West,Product D,1538.0943668810355,2
2026-07-26,North,Product A,1313.6089517144783,1
2026-07-26,North,Product B,1494.869294717208,0
2026-07-26,North,Product C,1570.2210861955116,1
2026-07-26,North,Product D,1434.564466430478,2
2026-07-26,South,Product A,1342.7947933718538,4
2026-07-26,South,Product B,1572.0246214742042,3
2026-07-26,South,Product C,1528.390378891121,2
2026-07-26,South,Product D,1646.1791689985298,3
2026-07-26,East,Product A,1460.8781760260379,3
2026-07-26,East,Product B,1610.61314771063,1
2026-07-26,East,Product C,1559.4633403120501,5
